"Len","P31","P50","P356","P1476","P577"
"Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine","Q13442814","Rehan Sadiq","10.1039/c8ew00394g","Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine","2018-08-01T11:32:25Z"
"Framework for optimizing chlorine dose in small-to medium-sized water distribution systems: a case of a residential neighbourhood in Lahore, Pakistan","Q13442814","Rehan Sadiq","10.4314/wsa.v41i5.4","Framework for optimizing chlorine dose in small-to medium-sized water distribution systems: a case of a residential neighbourhood in Lahore, Pakistan","2015-11-05T09:46:57Z"
"Framework for prioritizing infrastructure user expectations using Quality Function Deployment (QFD)","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2017.02.002","Framework for prioritizing infrastructure user expectations using Quality Function Deployment (QFD)","2017-03-28T06:46:21Z"
"Fuzzy Logic Expert System for Assessing Corrosion of Cast/Ductile Iron Water Mains using Soil Properties","Q13442814","Rehan Sadiq","10.1111/j.1467-8667.2005.00417.x","Fuzzy Logic Expert System for Assessing Corrosion of Cast/Ductile Iron Water Mains using Soil Properties","2005-10-27T11:12:44Z"
"Fuzzy clustering analysis of hydraulic fracturing additives for environmental and human health risk mitigation","Q13442814","Rehan Sadiq","10.1007/s10098-018-1614-3","Fuzzy clustering analysis of hydraulic fracturing additives for environmental and human health risk mitigation","2018-10-15T10:53:58Z"
"Fuzzy cognitive maps for decision support to maintain water quality in ageing water mains","Q13442814","Rehan Sadiq","10.1109/ccdc.2013.6561679","Fuzzy cognitive maps for decision support to maintain water quality in ageing water mains","2013-07-25T19:25:55Z"
"Fuzzy cognitive maps in systems risk analysis: a comprehensive review","Q13442814","Rehan Sadiq","10.1007/s40747-020-00228-2","Fuzzy cognitive maps in systems risk analysis: a comprehensive review","2020-11-25T23:02:31Z"
"Fuzzy fault tree analysis of hydraulic fracturing flowback water storage failure","Q13442814","Rehan Sadiq","10.1016/j.jngse.2019.103039","Fuzzy fault tree analysis of hydraulic fracturing flowback water storage failure","2019-10-23T00:51:35Z"
"Fuzzy physiologically based pharmacokinetic (PBPK) model of chloroform in swimming pools","Q13442814","Rehan Sadiq","10.1007/978-3-319-75408-6_38","Fuzzy physiologically based pharmacokinetic (PBPK) model of chloroform in swimming pools","2018-05-28T14:27:08Z"
"Fuzzy synthetic evaluation of disinfection by-products—a risk-based indexing system","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2004.04.014","Fuzzy synthetic evaluation of disinfection by-products—a risk-based indexing system","2004-08-05T08:22:06Z"
