"Len","P31","P50","P356","P1476","P577"
"Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2015.051","Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique","2015-12-15T08:49:12Z"
"Risk-based process safety assessment and control measures design for offshore process facilities","Q13442814","Rehan Sadiq","10.1016/s0304-3894(02)00004-3","Risk-based process safety assessment and control measures design for offshore process facilities","2002-10-14T19:21:38Z"
"Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)","Q13442814","Rehan Sadiq","10.1617/s11527-015-0626-2","Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)","2015-05-08T15:56:47Z"
"Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.07.014","Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach","2018-07-05T21:38:59Z"
"Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.11.069","Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions","2014-12-03T23:32:05Z"
"Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method","Q13442814","Rehan Sadiq","10.12989/eas.2012.3.5.695","Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method","2013-07-09T22:07:59Z"
"Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE","Q13442814","Rehan Sadiq","10.2175/106143016x14798353399494","Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE","2017-02-26T03:01:11Z"
"Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method","Q13442814","Rehan Sadiq","10.1080/1573062x.2014.900089","Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method","2014-04-14T13:03:14Z"
"Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2015.12.041","Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making","2015-12-23T04:01:17Z"
"Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework","Q13442814","Rehan Sadiq","10.1016/j.marpolbul.2020.111705","Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework","2020-10-04T01:49:42Z"
"Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.01.024","Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach","2013-02-26T18:00:41Z"
"Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2018.09.359","Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory","2018-10-01T21:54:56Z"
"Sewerage infrastructure: Fuzzy techniques to manage failures","Q13442814","Rehan Sadiq","10.1007/978-1-4020-6027-4_24","Sewerage infrastructure: Fuzzy techniques to manage failures","2007-05-23T18:25:47Z"
"Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","Q13442814","Rehan Sadiq","10.1115/icnmm2012-73216","Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","2013-07-22T19:32:04Z"
"Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks","Q13442814","Rehan Sadiq","10.1061/40976(316)499","Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks","2008-12-11T19:58:38Z"
"Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework","Q13442814","Rehan Sadiq","10.1007/s10661-017-6176-z","Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework","2017-08-23T06:10:20Z"
"Smart city and resilient city: Differences and connections","Q13442814","Rehan Sadiq","10.1002/widm.1388","Smart city and resilient city: Differences and connections","2020-09-02T07:56:14Z"
"Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Q13442814","Rehan Sadiq","10.1007/s10098-015-0959-0","Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","2015-04-27T11:04:16Z"
"Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2010.10.056","Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","2010-11-20T09:34:25Z"
"Stable strategies analysis based on the utility of Z-number in the evolutionary games","Q13442814","Rehan Sadiq","10.1016/j.amc.2017.12.006","Stable strategies analysis based on the utility of Z-number in the evolutionary games","2017-12-27T21:29:00Z"
"State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2019.01.074","State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","2019-01-30T08:03:52Z"
"Subsea release of oil from a riser: An ecological risk assessment","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2008.01136.x","Subsea release of oil from a riser: An ecological risk assessment","2008-09-20T12:10:35Z"
"Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Q13442814","Rehan Sadiq","10.1007/s10098-016-1168-1","Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","2016-03-29T06:23:37Z"
"Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.09.031","Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","2017-10-13T05:00:21Z"
"Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Q13442814","Rehan Sadiq","10.1016/j.conbuildmat.2010.11.041","Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","2010-12-23T09:30:48Z"
"Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2016.06.002","Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","2016-07-02T14:41:25Z"
"Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1007/s10098-016-1198-8","Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","2016-05-10T07:00:24Z"
"Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Q13442814","Rehan Sadiq","10.1007/s11269-015-0982-2","Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","2015-04-06T09:48:11Z"
"Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","Q13442814","Rehan Sadiq","10.1080/2093761x.2014.923794","Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","2014-08-13T15:35:51Z"
"Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Q13442814","Rehan Sadiq","10.1139/er-2020-0090","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","2021-03-15T21:36:34Z"
"Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1016/j.coldregions.2016.07.004","Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","2016-07-23T05:36:45Z"
"The impacts of decision uncertainty on municipal solid waste management","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2017.03.079","The impacts of decision uncertainty on municipal solid waste management","2017-05-03T04:15:19Z"
"The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_13","The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","2020-07-02T09:26:22Z"
"To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.110393","To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","2020-08-12T16:06:10Z"
"Topological vulnerability evaluation model based on fractal dimension of complex networks","Q13442814","Rehan Sadiq","10.1371/journal.pone.0146896","Topological vulnerability evaluation model based on fractal dimension of complex networks","2016-01-11T18:55:36Z"
"Total utility of Z-number","Q13442814","Rehan Sadiq","10.1007/s10489-017-1001-5","Total utility of Z-number","2017-07-26T13:32:28Z"
"Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00008-2","Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","2003-04-30T22:23:46Z"
"Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2005.069","Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","2015-12-15T08:43:22Z"
"Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","Q13442814","Rehan Sadiq","10.1007/s11783-014-0750-1","Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","2014-07-31T07:50:24Z"
"Trihalomethane exposures in indoor swimming pools: a level III fugacity model","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.07.005","Trihalomethane exposures in indoor swimming pools: a level III fugacity model","2011-07-21T19:58:30Z"
"Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.04.125","Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","2014-05-21T04:03:12Z"
"Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","Q13442814","Rehan Sadiq","10.1007/s11269-013-0467-0","Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","2013-11-15T11:20:50Z"
"Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia","Q13442814","Rehan Sadiq","10.1080/07011784.2020.1800517","Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia","2020-08-19T01:00:47Z"
"Unregulated disinfection By-products in drinking water in Quebec: a meta analysis","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2018.06.082","Unregulated disinfection By-products in drinking water in Quebec: a meta analysis","2018-07-14T16:06:44Z"
"Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis","Q13442814","Rehan Sadiq","10.1061/(asce)up.1943-5444.0000648","Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis","2020-12-14T07:33:05Z"
"Urban cohesion vis-à-vis organic spatialization of “Third places” in Saudi Arabia: The need for an alternative planning praxis","Q13442814","Rehan Sadiq","10.1016/j.habitatint.2020.102258","Urban cohesion vis-à-vis organic spatialization of “Third places” in Saudi Arabia: The need for an alternative planning praxis","2020-10-17T03:54:53Z"
"Using penalty functions to evaluate aggregation models for environmental indices","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2009.09.034","Using penalty functions to evaluate aggregation models for environmental indices","2009-10-25T08:10:08Z"
"Wastewater Reuse Risk Assessment, Decision Making And Environmental Security","Q13442814","Rehan Sadiq","10.1007/978-1-4020-6027-4_20","Wastewater Reuse Risk Assessment, Decision Making And Environmental Security","2007-05-23T18:25:47Z"
"Water distribution system failure: a framework for forensic analysis","Q13442814","Rehan Sadiq","10.1007/s10669-013-9464-3","Water distribution system failure: a framework for forensic analysis","2013-07-30T00:57:29Z"
"Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach","Q13442814","Rehan Sadiq","10.1080/1573062x.2016.1223321","Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach","2016-09-10T21:53:05Z"
"Water mains’ prioritisation for small to medium-sized utilities of Canada","Q13442814","Rehan Sadiq","10.1680/jinam.17.00037","Water mains’ prioritisation for small to medium-sized utilities of Canada","2019-02-13T14:15:09Z"
"Water quality failures in distribution networks—risk analysis using fuzzy logic and evidential reasoning","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2007.00972.x","Water quality failures in distribution networks—risk analysis using fuzzy logic and evidential reasoning","2010-08-18T17:14:31Z"
"Water quality – water main renewal planner (Q-WARP): development and application","Q13442814","Rehan Sadiq","10.2166/aqua.2014.079","Water quality – water main renewal planner (Q-WARP): development and application","2014-09-08T10:21:18Z"
"Water use in unconventional oil and gas development: an assessment on water use metric evaluation and selection","Q13442814","Rehan Sadiq","10.1007/s10098-017-1431-0","Water use in unconventional oil and gas development: an assessment on water use metric evaluation and selection","2017-10-13T08:25:45Z"
"Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000765","Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach","2017-02-21T13:12:20Z"
"Water–energy nexus for water distribution systems: a literature review","Q13442814","Rehan Sadiq","10.1139/er-2018-0106","Water–energy nexus for water distribution systems: a literature review","2019-03-12T21:36:06Z"
"‘Socializing’sustainability: a critical review on current development status of social life cycle impact assessment method","Q13442814","Rehan Sadiq","10.1007/s10098-014-0841-5","‘Socializing’sustainability: a critical review on current development status of social life cycle impact assessment method","2014-08-23T05:26:33Z"
