"Len","P31","P50","P356","P1476","P577"
"Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales","Q13442814","Valentina Radić","10.1007/978-94-017-8789-5_15","Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales","2014-05-02T05:18:38Z"
"Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","Valentina Radić","10.5194/tc-7-1565-2013","Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties","2013-10-02T06:23:22Z"
"Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","Valentina Radić","10.5194/tcd-7-1987-2013","Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties","2013-05-07T11:28:00Z"
"Global response of glacier runoff to twenty-first century climate change","Q13442814","Valentina Radić","10.1002/2013jf002931","Global response of glacier runoff to twenty-first century climate change","2014-02-12T12:35:04Z"
"How sensitive are mountain glaciers to climate change? Insights from a block model","Q13442814","Valentina Radić","10.1017/jog.2018.15","How sensitive are mountain glaciers to climate change? Insights from a block model","2018-03-08T13:40:34Z"
"Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","Q13442814","Valentina Radić","10.1175/jcli-d-12-00513.1","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","2012-12-22T01:49:24Z"
"Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","Q13442814","Valentina Radić","10.1002/2016jd025405","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","2016-11-16T20:50:23Z"
"Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure","Q13442814","Valentina Radić","10.31235/osf.io/yngx4","Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure","2018-10-28T00:22:33Z"
"Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","Q13442814","Valentina Radić","10.1029/2005jf000440","Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","2006-07-12T22:25:56Z"
"Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","Q13442814","Valentina Radić","10.1002/2015jf003667","Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","2015-11-06T12:46:17Z"
"Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Q13442814","Valentina Radić","10.1029/2008gl037020","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","2009-04-01T20:01:36Z"
"Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Q13442814","Valentina Radić","10.1029/2019ef001470","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","2020-04-25T05:45:26Z"
"Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Q13442814","Valentina Radić","10.1029/2020wr028048","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","2021-01-16T21:14:50Z"
"Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Valentina Radić","10.1002/2015wr017840","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","2015-10-12T22:16:57Z"
"Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra","Q13442814","Valentina Radić","10.1016/j.jvolgeores.2016.04.014","Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra","2016-04-28T18:48:16Z"
"Projected deglaciation of western Canada in the twenty-first century","Q13442814","Valentina Radić","10.1038/ngeo2407","Projected deglaciation of western Canada in the twenty-first century","2015-04-07T12:57:32Z"
"Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models","Q13442814","Valentina Radić","10.1007/s00382-013-1719-7","Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models","2013-04-01T06:13:22Z"
"Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data","Q13442814","Valentina Radić","10.1029/2009jf001373","Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data","2010-03-10T21:00:46Z"
"Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94","Q13442814","Valentina Radić","10.1038/ngeo1052","Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94","2011-01-10T09:46:46Z"
"Significant total mass contained in small glaciers","Q13442814","Valentina Radić","10.5194/tcd-6-737-2012","Significant total mass contained in small glaciers","2012-02-17T14:48:54Z"
"Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Q13442814","Valentina Radić","10.3390/w11040776","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","2019-04-15T15:15:58Z"
"Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Q13442814","Valentina Radić","10.3389/feart.2017.00067","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","2017-09-01T08:12:08Z"
"The Randolph Glacier Inventory: a globally complete inventory of glaciers","Q13442814","Valentina Radić","10.3189/2014jog13j176","The Randolph Glacier Inventory: a globally complete inventory of glaciers","2014-05-06T11:13:27Z"
"The multimillennial sea-level commitment of global warming","Q13442814","Valentina Radić","10.1073/pnas.1219414110","The multimillennial sea-level commitment of global warming","2013-07-16T01:07:37Z"
"The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Q13442814","Valentina Radić","10.1002/2016gl072394","The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","2017-03-20T14:02:54Z"
