"qid","Len","P31","P50","P356","P921","P1476"
"","Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales","Q13442814","('Valentina Radić',)","10.1007/978-94-017-8789-5_15","glacier","Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales"
"","Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","('Valentina Radić',)","10.5194/tc-7-1565-2013","glacier","Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties"
"","Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","('Valentina Radić',)","10.5194/tcd-7-1987-2013","glacier","Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties"
"","Global response of glacier runoff to twenty-first century climate change","Q13442814","('Valentina Radić',)","10.1002/2013jf002931","glacier","Global response of glacier runoff to twenty-first century climate change"
"","How sensitive are mountain glaciers to climate change? Insights from a block model","Q13442814","('Valentina Radić',)","10.1017/jog.2018.15","glacier","How sensitive are mountain glaciers to climate change? Insights from a block model"
"","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","Q13442814","('Valentina Radić',)","10.1175/jcli-d-12-00513.1","glacier","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model"
"","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","Q13442814","('Valentina Radić',)","10.1002/2016jd025405","","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing"
"","Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure","Q13442814","('Valentina Radić',)","10.31235/osf.io/yngx4","policy","Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure"
"","Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","Q13442814","('Valentina Radić',)","10.1029/2005jf000440","modeling","Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden"
"","Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","Q13442814","('Valentina Radić',)","10.1002/2015jf003667","sea level rise","Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula"
"","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Q13442814","('Valentina Radić',)","10.1029/2008gl037020","glacier","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution"
"","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Q13442814","('Valentina Radić',)","10.1029/2019ef001470","uncertainty","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change"
"","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Q13442814","('Valentina Radić',)","10.1029/2020wr028048","water science and technology","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply"
"","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","('Valentina Radić',)","10.1002/2015wr017840","","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream"
"","Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra","Q13442814","('Valentina Radić',)","10.1016/j.jvolgeores.2016.04.014","geochemistry and petrology","Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra"
"","Projected deglaciation of western Canada in the twenty-first century","Q13442814","('Valentina Radić',)","10.1038/ngeo2407","","Projected deglaciation of western Canada in the twenty-first century"
"","Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models","Q13442814","('Valentina Radić',)","10.1007/s00382-013-1719-7","glacier","Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models"
"","Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data","Q13442814","('Valentina Radić',)","10.1029/2009jf001373","glacier","Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data"
"","Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94","Q13442814","('Valentina Radić',)","10.1038/ngeo1052","glacier","Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94"
"","Significant total mass contained in small glaciers","Q13442814","('Valentina Radić',)","10.5194/tcd-6-737-2012","glacier","Significant total mass contained in small glaciers"
"","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Q13442814","('Valentina Radić',)","10.3390/w11040776","glacier","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia"
"","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Q13442814","('Valentina Radić',)","10.3389/feart.2017.00067","glacier","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada"
"","The Randolph Glacier Inventory: a globally complete inventory of glaciers","Q13442814","('Valentina Radić',)","10.3189/2014jog13j176","glacier","The Randolph Glacier Inventory: a globally complete inventory of glaciers"
"","The multimillennial sea-level commitment of global warming","Q13442814","('Valentina Radić',)","10.1073/pnas.1219414110","multidisciplinary","The multimillennial sea-level commitment of global warming"
"","The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Q13442814","('Valentina Radić',)","10.1002/2016gl072394","","The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic"
